,input,output,gt
10,10," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Ugh I have to wake up so early (9:00) and go t...
reframed_text          I get to have a nice early morning, have a pro...
strategy                                    ['neutralizing', 'optimism']
original_with_label    Ugh I have to wake up so early (9:00) and go t...
Name: 10, dtype: object"
11,11," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Sore throats are the worst, at least I get to ...
reframed_text          Sore throats are somewhat irritating but I am ...
strategy                                    ['neutralizing', 'optimism']
original_with_label    Sore throats are the worst, at least I get to ...
Name: 11, dtype: object"
12,12," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          got in a wreck, got a B in accounting, decidin...
reframed_text          Having a really rough time at the moment but s...
strategy                          ['growth', 'neutralizing', 'optimism']
original_with_label    got in a wreck, got a B in accounting, decidin...
Name: 12, dtype: object"
13,13," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          I CANNOT be getting sick right now! I have way...
reframed_text          Hopefully, this cold I'm getting won't interfe...
strategy                                                ['neutralizing']
original_with_label    I CANNOT be getting sick right now! I have way...
Name: 13, dtype: object"
14,14," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          I would never thought picking furniture for my...
reframed_text          I'm glad I have so many options of furniture t...
strategy                                    ['optimism', 'thankfulness']
original_with_label    I would never thought picking furniture for my...
Name: 14, dtype: object"
15,15," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Been a hell of a week. Tired is not the word. ...
reframed_text          Tomorrow will be a new day. I'll focus on my c...
strategy                                ['impermanence', 'neutralizing']
original_with_label    Been a hell of a week. Tired is not the word. ...
Name: 15, dtype: object"
16,16," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          For the sake of the sanity of the students of ...
reframed_text          The phone advisors at Wales need to make sure ...
strategy                                                ['neutralizing']
original_with_label    For the sake of the sanity of the students of ...
Name: 16, dtype: object"
17,17," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          I'll do my english work in algebra and my econ...
reframed_text          I'll do my english work in algebra and my econ...
strategy                                    ['impermanence', 'optimism']
original_with_label    I'll do my english work in algebra and my econ...
Name: 17, dtype: object"
18,18," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          The Fray calms me down. Until I get worked up ...
reframed_text              Silence calms me down when I’m all worked up.
strategy                            ['impermanence', 'self_affirmation']
original_with_label    The Fray calms me down. Until I get worked up ...
Name: 18, dtype: object"
19,19," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          I think having a test in history and chem on t...
reframed_text          Having a test in history and chemistry on the ...
strategy                ['neutralizing', 'optimism', 'self_affirmation']
original_with_label    I think having a test in history and chem on t...
Name: 19, dtype: object"
20,20," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          You know I really don't care about the power s...
reframed_text                      I should concentrate on my own works.
strategy                                                      ['growth']
original_with_label    You know I really don't care about the power s...
Name: 20, dtype: object"
21,21," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Things are starting to change and that's not o...
reframed_text          Things are starting to change, and I don't rea...
strategy                                ['impermanence', 'neutralizing']
original_with_label    Things are starting to change and that's not o...
Name: 21, dtype: object"
22,22," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          The most stressful thing is trying to find a n...
reframed_text          Finding a new profile picture to replace the u...
strategy                                    ['neutralizing', 'optimism']
original_with_label    The most stressful thing is trying to find a n...
Name: 22, dtype: object"
23,23," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          I miss all my best friends for real. I'm in su...
reframed_text          Even though I miss my friends now, I know many...
strategy                                    ['optimism', 'thankfulness']
original_with_label    I miss all my best friends for real. I'm in su...
Name: 23, dtype: object"
24,24," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          I want Blair and Chuck, Nate and Vanessa, Eric...
reframed_text          If Eric likes boys better, then that will leav...
strategy                                          ['growth', 'optimism']
original_with_label    I want Blair and Chuck, Nate and Vanessa, Eric...
Name: 24, dtype: object"
25,25," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Driving to visit gran in hospital and son is s...
reframed_text          My son and my gran are sick but hopefully they...
strategy                                                ['impermanence']
original_with_label    Driving to visit gran in hospital and son is s...
Name: 25, dtype: object"
26,26," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Not sure if it's the Naproxen I'm on for my to...
reframed_text          Not sure if it's the Naproxen I'm on for my to...
strategy                                                    ['optimism']
original_with_label    Not sure if it's the Naproxen I'm on for my to...
Name: 26, dtype: object"
27,27," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Great Now How Am I Gunna Explain This To Her S...
reframed_text          I'm pretty sure that if I'm sincere and open t...
strategy                                                    ['optimism']
original_with_label    Great Now How Am I Gunna Explain This To Her S...
Name: 27, dtype: object"
28,28," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Things I don't feel like doing today: working,...
reframed_text          I'm tired today but I'm thankful I have a job ...
strategy                                                ['thankfulness']
original_with_label    Things I don't feel like doing today: working,...
Name: 28, dtype: object"
29,29," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Had roughly 5 hours sleep over the past 3 days...
reframed_text          Some people just can't run on 5 hours of sleep...
strategy                                                ['neutralizing']
original_with_label    Had roughly 5 hours sleep over the past 3 days...
Name: 29, dtype: object"
30,30," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          thinking about my future makes me want to go l...
reframed_text          My future seems to be unpredictable, so I can ...
strategy                                    ['neutralizing', 'optimism']
original_with_label    thinking about my future makes me want to go l...
Name: 30, dtype: object"
31,31," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          I know if i dont pick up my grades i can liter...
reframed_text          I want to pick up my grades to improve and go ...
strategy                                                      ['growth']
original_with_label    I know if i dont pick up my grades i can liter...
Name: 31, dtype: object"
32,32," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          If I make it through the next 2 weeks without ...
reframed_text          I'm positive I can make it through the next fe...
strategy                                    ['optimism', 'thankfulness']
original_with_label    If I make it through the next 2 weeks without ...
Name: 32, dtype: object"
33,33," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Finding another gray hair because I'm so stres...
reframed_text          Finding gray hairs on me from all the stress, ...
strategy                                                ['thankfulness']
original_with_label    Finding another gray hair because I'm so stres...
Name: 33, dtype: object"
34,34," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Been watching a lot of WWII stuff because at l...
reframed_text          Yes, they certainly were held accountable.  Ba...
strategy                                    ['neutralizing', 'optimism']
original_with_label    Been watching a lot of WWII stuff because at l...
Name: 34, dtype: object"
35,35," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Im going to have to toggle between the pens ga...
reframed_text          I'm going to play pens game and the new season...
strategy                                                ['impermanence']
original_with_label    Im going to have to toggle between the pens ga...
Name: 35, dtype: object"
36,36," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Damn , so many women, so many to choose from, ...
reframed_text              One day I will find the one women I dream of!
strategy                                                ['impermanence']
original_with_label    Damn , so many women, so many to choose from, ...
Name: 36, dtype: object"
37,37," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Ugh, tired of not having a job but nobody want...
reframed_text          It's hard for me to find a temporary job right...
strategy                                    ['impermanence', 'optimism']
original_with_label    Ugh, tired of not having a job but nobody want...
Name: 37, dtype: object"
38,38," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          In bed looking at the hall way waiting for the...
reframed_text          I'm having trouble sleeping.  I just need to r...
strategy                                          ['growth', 'optimism']
original_with_label    In bed looking at the hall way waiting for the...
Name: 38, dtype: object"
39,39," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Can't sleep coz I'm thinking about the all the...
reframed_text          I need to organize myself and finish my works ...
strategy                                                ['impermanence']
original_with_label    Can't sleep coz I'm thinking about the all the...
Name: 39, dtype: object"
40,40," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          It's bed. Long. Stressful day. And to put a ch...
reframed_text                           I need sleep to rest and recover
strategy                                                ['neutralizing']
original_with_label    It's bed. Long. Stressful day. And to put a ch...
Name: 40, dtype: object"
41,41," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Desperately in need of a massage Someone want ...
reframed_text          I feel like I need a massage and a spa appoint...
strategy                                                    ['optimism']
original_with_label    Desperately in need of a massage Someone want ...
Name: 41, dtype: object"
42,42," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          I need a weekend get away. To bad that won't e...
reframed_text                         My homework might slow down a bit.
strategy                                                ['neutralizing']
original_with_label    I need a weekend get away. To bad that won't e...
Name: 42, dtype: object"
43,43," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          How am I meant to get an A and two B's in my A...
reframed_text          I need to get an A and two B's in my A- levels...
strategy                                    ['neutralizing', 'optimism']
original_with_label    How am I meant to get an A and two B's in my A...
Name: 43, dtype: object"
44,44," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Blaming my awful breakout on the fact we leave...
reframed_text            I have to complete all my works before I leave.
strategy                                                      ['growth']
original_with_label    Blaming my awful breakout on the fact we leave...
Name: 44, dtype: object"
45,45," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Honestly don't know how I'm going to finish al...
reframed_text          I have a lot of homework and projects to do bu...
strategy                                    ['neutralizing', 'optimism']
original_with_label    Honestly don't know how I'm going to finish al...
Name: 45, dtype: object"
46,46," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          One of those days where nothing has gone right...
reframed_text          Today was not such a pleasant day, but I know ...
strategy                                    ['optimism', 'thankfulness']
original_with_label    One of those days where nothing has gone right...
Name: 46, dtype: object"
47,47," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Trying to remind myself that bombing this audi...
reframed_text          I tried my best at the audition. We can't all ...
strategy                                            ['self_affirmation']
original_with_label    Trying to remind myself that bombing this audi...
Name: 47, dtype: object"
48,48," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Being ready to go back to school and being pre...
reframed_text          Being ready to go back to school and being pre...
strategy                                          ['growth', 'optimism']
original_with_label    Being ready to go back to school and being pre...
Name: 48, dtype: object"
49,49," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          In your stressful situation there is a peace t...
reframed_text          I can think of several positive aspects that b...
strategy                                                ['thankfulness']
original_with_label    In your stressful situation there is a peace t...
Name: 49, dtype: object"
50,50," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          1 test down, 1 test to go. usually i dont hate...
reframed_text                  Just this Friday to finish the last test.
strategy                                                ['neutralizing']
original_with_label    1 test down, 1 test to go. usually i dont hate...
Name: 50, dtype: object"
51,51," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          talacre beach really need to sort there checki...
reframed_text          Talacre beach's check in process could do with...
strategy                                                ['neutralizing']
original_with_label    talacre beach really need to sort there checki...
Name: 51, dtype: object"
52,52," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Morning Twitter-Birds! I'm taking my GRE in 2 ...
reframed_text          Soon the GRE’s will be over, and I’ll be able ...
strategy                                          ['growth', 'optimism']
original_with_label    Morning Twitter-Birds! I'm taking my GRE in 2 ...
Name: 52, dtype: object"
53,53," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Honestly trying so hard right now to have a fr...
reframed_text          Life is not easy for everyone one, and everyon...
strategy                                                ['impermanence']
original_with_label    Honestly trying so hard right now to have a fr...
Name: 53, dtype: object"
54,54," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          My dad has been asking for grapes forever. He ...
reframed_text          Stores need to offer more normal grapes not se...
strategy                                                ['neutralizing']
original_with_label    My dad has been asking for grapes forever. He ...
Name: 54, dtype: object"
55,55," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Can't Ever Find A Decent Team While Playing Le...
reframed_text          It's really hard to find a team that I like in...
strategy                                                    ['optimism']
original_with_label    Can't Ever Find A Decent Team While Playing Le...
Name: 55, dtype: object"
56,56," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          So exhausted. :( Only so much I can do in all ...
reframed_text          I have a lot to do, but I’m really proud of my...
strategy                                    ['neutralizing', 'optimism']
original_with_label    So exhausted. :( Only so much I can do in all ...
Name: 56, dtype: object"
57,57," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Could someone just give me like $1000? It woul...
reframed_text          Time to focus on making a budget, so I don't h...
strategy                                                      ['growth']
original_with_label    Could someone just give me like $1000? It woul...
Name: 57, dtype: object"
58,58," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          maybe just maybe I should think about switchin...
reframed_text          I will talk to my teacher and will figure this...
strategy                                ['optimism', 'self_affirmation']
original_with_label    maybe just maybe I should think about switchin...
Name: 58, dtype: object"
59,59," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          wish i didnt have this exam tomorrow morning, ...
reframed_text          I have this exam tomorrow morning, got enough ...
strategy                                            ['self_affirmation']
original_with_label    wish i didnt have this exam tomorrow morning, ...
Name: 59, dtype: object"
60,60," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          I'm just really confused about what to do with...
reframed_text          I am a bit confused about my life now, and I h...
strategy                                    ['neutralizing', 'optimism']
original_with_label    I'm just really confused about what to do with...
Name: 60, dtype: object"
61,61," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Not even funny how bad business is going to go...
reframed_text          Time to learn to plan better and start my assi...
strategy                                                      ['growth']
original_with_label    Not even funny how bad business is going to go...
Name: 61, dtype: object"
62,62," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          To all my friends that think I'm blessed, they...
reframed_text          I hope my mind clears a bit and I get into a p...
strategy                                                    ['optimism']
original_with_label    To all my friends that think I'm blessed, they...
Name: 62, dtype: object"
63,63," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          I'm so p'd off .. I'm going to miss my spin cl...
reframed_text          I will miss a class because of trafic but I am...
strategy                                                    ['optimism']
original_with_label    I'm so p'd off .. I'm going to miss my spin cl...
Name: 63, dtype: object"
64,64," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Having 53480 things to do and taking a nap ins...
reframed_text          It‚Äôs good that I take naps and times out whe...
strategy               ['neutralizing', 'optimism', 'self_affirmation...
original_with_label    Having 53480 things to do and taking a nap ins...
Name: 64, dtype: object"
65,65," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          I need to go for a nice run or something. I do...
reframed_text          As I wish to get out of here, it would be bett...
strategy                                                ['neutralizing']
original_with_label    I need to go for a nice run or something. I do...
Name: 65, dtype: object"
66,66," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Stressed? Take a few seconds, and try this bre...
reframed_text          Do not get stressed. Try this interruption tec...
strategy                                    ['neutralizing', 'optimism']
original_with_label    Stressed? Take a few seconds, and try this bre...
Name: 66, dtype: object"
67,67," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          I wish this empty feeling inside would just go...
reframed_text          I wish this empty feeling inside would just go...
strategy                            ['self_affirmation', 'thankfulness']
original_with_label    I wish this empty feeling inside would just go...
Name: 67, dtype: object"
68,68," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Think I'm getting a canker sore I was literall...
reframed_text          Today I was talking about how long it's been s...
strategy                ['neutralizing', 'optimism', 'self_affirmation']
original_with_label    Think I'm getting a canker sore I was literall...
Name: 68, dtype: object"
69,69," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Gah!! I always go to bed sooo late on nights I...
reframed_text          I think I'll go to sleep earlier to get a good...
strategy                                      ['growth', 'neutralizing']
original_with_label    Gah!! I always go to bed sooo late on nights I...
Name: 69, dtype: object"
70,70," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          want to just hop on a random international bou...
reframed_text          I need to think more positively, so that I don...
strategy                                      ['growth', 'neutralizing']
original_with_label    want to just hop on a random international bou...
Name: 70, dtype: object"
71,71," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Job applications handed in. One stressful thin...
reframed_text          Job applications handed in. Now my next tackle...
strategy                                                      ['growth']
original_with_label    Job applications handed in. One stressful thin...
Name: 71, dtype: object"
72,72," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          So annoyed at myself that I mucked up part of ...
reframed_text          I didn't do very well on my interview but I'll...
strategy                                          ['growth', 'optimism']
original_with_label    So annoyed at myself that I mucked up part of ...
Name: 72, dtype: object"
73,73," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Escape! Im planning to escape aboard a cargo s...
reframed_text          It would be exciting to escape aboard a cargo ...
strategy                                                    ['optimism']
original_with_label    Escape! Im planning to escape aboard a cargo s...
Name: 73, dtype: object"
