,input,output,gt
113,Last full day of school newberryacademy Examweek oh crap this week is exam weekoh no.,"I've been learning all week, but it's been challenging! I'm going to the gym, so I'll be ready for the exam!",Last full day of school with forthcoming exams. Busy week ahead!
114,Every time we talk i just want to rage quit violently on you for everything ya did! angerproblems .,Every time we talk we just want to get angry and give up.  Anger is a necessary response.,"I need to learn how to let go, It will do me good as a person, and will help with my mental health."
115,11 hours at work after a bank holiday on my own was not the one today stressed,"Not a good night of work, I need to take a long rest.",Working for 11 hours after a bank holiday on my own means I am a very dedicated person.
116,"Um, help. I have an exam and my prof is late. What do I do?",I'm so excited to help my exam!,"Professors really need to start communicating with their students, if they are going to be late."
117,How do you manage a big move to a new house with an autistic child behaviour tempertantrums help,"It is very hard to manage a big move to a new house with an autistic child, but the problems of not knowing the child make it easy.",It is a challenge with an autistic child but we have gotten a new place we get move in to.
118,waking up nauseous<;<; and skipping an 8am to study for my back to back exams<;<;,"ive got a lot on my mind at the back of my back, hoping to get some help to go to the doctor tomorrow.","I will not let these nausea harm me in my exam, it is important to wake up early and start my studies."
119,Tomorrow's going to be a long day. I'm going to be drained mentally and physically. Yay for all the homecoming festivities!,"It's going to be a long day for me, but it will be worth it.","Tomorrow will be stressful mentally and physically, but in the end I know I will do a good job"
120,Gotta get at least 2 1/2-3 pages of this paper done by 4:30 I have wayyyyy too much to do today,I am going to get some work done today to finally have some stability in my day.,"Just gotta get 2 1/2-3 pages of this paper done by 4:30 today, it's better than doing it all last second."
121,I'm so close to finishing this class but if I fail the final then I fail the class and have to restart,"This class is very challenging, but if I study hard I will get through it.",I only have to finish this small class to finish the year well.
122,"This work day seriously just needs to be over, like ASAP!!!!! Why is it not 3 o'clock yet!?",I need to wake up early and get this work done as soon as possible.,"After 3 o'clock, this work day will be over!"
123,"a glass of wine, a mindless magazine and a bubble bath is going to do me wonders tonight.","A glass of wine, a mindless magazine and a bubble bath will do me wonders tonight.","I'm going to have a wonderful time tonight with a glass of wine, a mindless magazine and a bubble bath :)"
124,My day usually consists of a series of small panic attacks strung together. This job might kill me.,"My day is usually full of panic attacks, but I am getting better, and I'm getting some help from a bunch of people.",My day usually consists of a series of small panic attacks strung together :). This job may be killing me but it makes me so thankful about leaving work at the end of each day!
125,I'm sooooooo going to be screwed for the admin prelim won't remember anything practical and won't do well theory wise :(,I'm going to be very happy if I can be a part of the school system as it won't be difficult for me to remember what is important in the prelim anyway.,I'm going to study until I feel more confident about practical and theory in admin prelim.
126,Why cant I just catch a break? Just for a little while. Have things go my way for once. Im about to break,catch a break sometimes but then I will be so happy to have something go my way.,My life will get so much better soon.
127,Definitely need to start staying at my friends house. I can't stand it here. stressed hateit toomanykids,"It is difficult at times when I want to stay at my friends house but, I am grateful that I have my parents to support me.",I am thankful I have a friend I can stay at since I am in need of moving somewhere else.
128,Wow. I'm sorry for trying to finish all my work I missed dedicating 5 days to dance.,I'm happy that I was able to spend 5 days of my free time to do my homework.,I'm sorry for trying to finish all my work I miss lot f things.
129,"Seriously wishing I would get sick so I can call off work, and I don't care that I would have to cancel 2 shows.",I'm sure going to have a great time going forward with 2 shows.,I will enjoy my night after I get off work.
130,my uni should allow all the freshers to get wristbands first as we are the newbieshad the worst time sorting it all out,It's good that people get band things but not everyone has a band.,"Even though I wasn't able to get a wristband first, I'm just thankful that I'm considered important at all."
131,This life has got me rundown and spinning out and I'm not sure how long I'll hold up,"I need to relax a bit, this life has been hard and I am not on strong.","I am exhausted in life, but I wish to hold on and become successful."
132,I absolutely love stage dooring to see my incredible people but just hate the awkward waiting in between!!! socialanxietyFU,"People sometimes get behind their back, and I need to get away from this unnecessary situation so that I can be alone.",The awkward waiting might be discomforting but I am glad that I get to see my incredible people.
133,"Feel like crying, this math class is impossible to pass, and my teacher gives us heaps of work as if we don't have other classes","I've been having a hard time with my math class, but I'm confident I'll pass with at least a 3.0.0.","This math class is hard, and my teacher gives us heaps of work. But, I'm smart, and I know I can get everything right!"
134,Just managed to book a return ferry crossing for tomorrow to beat this bastard quarantine Why announce so late meaning that 1000s of us over in France have been desperately trying to book into the early hours? Ill only believe its true when Im safely on board! stressed,The next time around I'm going to have to catch up on my stuff and get some good marks.,"While there are thousands of people trying to book the return ferry, I managed to get a spot as early as tomorrow! Glad to be ahead of the quatantine!"
135,So much work to do today :( and I still have to study for my math final,"I have a lot of work to do, but that's only a shortcoming, and it's not that bad.  I'll just be back in bed to take a nap.",I'll have to schedule carefully to have time for all my work and studying.
136,Just so ready to be done with school and move far far away from michigan. I have never been this frustrated!!!,I'm so ready to be done with school and move away from Michigan. Hope the time comes quickly.,Looking to relocate to another state for higher education post completing school in Michigan.
137,6 hours sleep in a 72 hour period Not eaten in 45 hours Had a migraine the last 3 days Tired,6 hours sleep in a 72 hour period is good to stay healthily eating.,"I’ve had a migraine, only 6 hours sleep and not eaten in the 45 hours. I hope to feel good after a nice meal and a nap."
138,ff hope you gave the ironing a crack and feel a little less ;-) off to snowdonia next week with,ive only had one blip but that will make me better.,We should be always optimistic.
139,The recklessness at work right now means.. I'm out to lunch at McDonalds for lunch. At least they want to SeeMeSmile,This recklessness at work shows determination. I can accomplish anything I set my mind to do.,Hanging out with my friends bring me a piece of happiness.
140,Our heat shock pencils turn bright orange when you are stressed! Get one with your order!,"Our stress-ball is not a good source of energy, so it’s better suited to a night out than a business meeting.",Even though I am stressed at least there are these cute pencils which show the stress and it's somewhat entertaining.
141,Depressed! Going to fail my College Algebra Final tomorrow. Probably won't even see a 3.0. Wish I had tix for Saturdays game!,"I'm sure if I just focus and study as hard as I can for my final tomorrow, I can get my grades up for college.","Feeling really anxious about my Algebra Final tomorrow, but I'm sure if I study hard I can pass it!"
142,I envy month end at work! Bein told to 'turn my frown upside down' is not what i wonna hear now!,"envy monthend, it's not at the moment but this month of work has been challenging!",Finding work really hard at the moment but I know that if I work hard I can get to an outcome I am happy with.
143,How are you supposed to find a job when they all require previous experience in that area?,I'm sure that I will find a job with more experience in this area.,"It's hard to find a job when they all require previous experience in that area. But I'll keep searching, and I'm sure anyday I'll find."
